"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"2","Process","GO:0007617",22,139,7227,"7227.FBpp0072820,7227.FBpp0078788,7227.FBpp0079854,7227.FBpp0081037,7227.FBpp0082096,7227.FBpp0084288,7227.FBpp0084289,7227.FBpp0086228,7227.FBpp0088549,7227.FBpp0088599,7227.FBpp0088975,7227.FBpp0099901,7227.FBpp0303597,7227.FBpp0305377,7227.FBpp0305575,7227.FBpp0308307,7227.FBpp0308365,7227.FBpp0308381,7227.FBpp0309468,7227.FBpp0309999,7227.FBpp0311650,7227.FBpp0422604","Acp62F,Acp26Ab,Acp33A,Gr39a,Desat1,Mst57Da,Mst57Db,Acp53Ea,spin,Sh,Dup99B,Syn,para,Ebp,Est-6,Mst57Dc,to,Adar,Acp36DE,EbpIII,EbpII,Gld",7.84e-13,5.55e-09,"Mating behavior"
"3","Process","GO:0000003",67,1426,7227,"7227.FBpp0071899,7227.FBpp0072593,7227.FBpp0072820,7227.FBpp0073422,7227.FBpp0074026,7227.FBpp0074393,7227.FBpp0074805,7227.FBpp0077830,7227.FBpp0077845,7227.FBpp0077990,7227.FBpp0078482,7227.FBpp0078788,7227.FBpp0079282,7227.FBpp0079415,7227.FBpp0079427,7227.FBpp0079854,7227.FBpp0080914,7227.FBpp0081037,7227.FBpp0082096,7227.FBpp0082439,7227.FBpp0082873,7227.FBpp0084288,7227.FBpp0084289,7227.FBpp0084583,7227.FBpp0085635,7227.FBpp0086091,7227.FBpp0086228,7227.FBpp0086551,7227.FBpp0088549,7227.FBpp0088599,7227.FBpp0088975,7227.FBpp0089041,7227.FBpp0099901,7227.FBpp0100040,7227.FBpp0110064,7227.FBpp0110067,7227.FBpp0110170,7227.FBpp0289524,7227.FBpp0289525,7227.FBpp0289532,7227.FBpp0289542,7227.FBpp0289547,7227.FBpp0289636,7227.FBpp0296953,7227.FBpp0298291,7227.FBpp0303597,7227.FBpp0303712,7227.FBpp0304100,7227.FBpp0305377,7227.FBpp0305435,7227.FBpp0305575,7227.FBpp0305814,7227.FBpp0307158,7227.FBpp0308307,7227.FBpp0308365,7227.FBpp0308381,7227.FBpp0309188,7227.FBpp0309468,7227.FBpp0309480,7227.FBpp0309999,7227.FBpp0311604,7227.FBpp0311605,7227.FBpp0311650,7227.FBpp0311701,7227.FBpp0311847,7227.FBpp0311969,7227.FBpp0422604","CG32833,hfp,Acp62F,regucalcin,kat80,Ggt-1,Acp76A,Spn77Bc,fbl,CG11037,CG1124,Acp26Ab,Akap200,lectin-30A,CG31883,Acp33A,CG31680,Gr39a,Desat1,Cys,CG31418,Mst57Da,Mst57Db,CG5402,Obp56f,CG4847,Acp53Ea,Obp51a,spin,Sh,Dup99B,Prosalpha7,Syn,Acp53C14c,Acp54A1,BG642312,CG34129,Sfp24Ba,Sfp24Bb,Sfp24F,Sfp65A,Sfp87B,CG34034,Acp24A4,east,para,Sxl,Pdcd4,Ebp,Sfp26Ad,Est-6,Ag5r,CG17242,Mst57Dc,to,Adar,EDTP,Acp36DE,CG5162,EbpIII,Acp53C14b,Acp53C14a,EbpII,CG31872,Bbd,Anp,Gld",5.87e-11,1.39e-07,"Reproduction"
"4","Process","GO:0019953",56,1143,7227,"7227.FBpp0071899,7227.FBpp0072593,7227.FBpp0072820,7227.FBpp0073422,7227.FBpp0074026,7227.FBpp0074393,7227.FBpp0074805,7227.FBpp0077830,7227.FBpp0077845,7227.FBpp0077990,7227.FBpp0078788,7227.FBpp0079282,7227.FBpp0079415,7227.FBpp0079427,7227.FBpp0079854,7227.FBpp0080914,7227.FBpp0082439,7227.FBpp0082873,7227.FBpp0084288,7227.FBpp0084289,7227.FBpp0084583,7227.FBpp0085635,7227.FBpp0086091,7227.FBpp0086228,7227.FBpp0086551,7227.FBpp0088549,7227.FBpp0088975,7227.FBpp0089041,7227.FBpp0100040,7227.FBpp0110064,7227.FBpp0110067,7227.FBpp0110170,7227.FBpp0289524,7227.FBpp0289525,7227.FBpp0289532,7227.FBpp0289542,7227.FBpp0289547,7227.FBpp0289636,7227.FBpp0296953,7227.FBpp0298291,7227.FBpp0303712,7227.FBpp0304100,7227.FBpp0305377,7227.FBpp0305435,7227.FBpp0305575,7227.FBpp0307158,7227.FBpp0308307,7227.FBpp0309188,7227.FBpp0309468,7227.FBpp0309480,7227.FBpp0311604,7227.FBpp0311605,7227.FBpp0311650,7227.FBpp0311701,7227.FBpp0311847,7227.FBpp0311969","CG32833,hfp,Acp62F,regucalcin,kat80,Ggt-1,Acp76A,Spn77Bc,fbl,CG11037,Acp26Ab,Akap200,lectin-30A,CG31883,Acp33A,CG31680,Cys,CG31418,Mst57Da,Mst57Db,CG5402,Obp56f,CG4847,Acp53Ea,Obp51a,spin,Dup99B,Prosalpha7,Acp53C14c,Acp54A1,BG642312,CG34129,Sfp24Ba,Sfp24Bb,Sfp24F,Sfp65A,Sfp87B,CG34034,Acp24A4,east,Sxl,Pdcd4,Ebp,Sfp26Ad,Est-6,CG17242,Mst57Dc,EDTP,Acp36DE,CG5162,Acp53C14b,Acp53C14a,EbpII,CG31872,Bbd,Anp",7.6e-10,1.34e-06,"Sexual reproduction"
"5","Process","GO:0007610",35,523,7227,"7227.FBpp0072820,7227.FBpp0076185,7227.FBpp0077845,7227.FBpp0078788,7227.FBpp0079282,7227.FBpp0079854,7227.FBpp0080859,7227.FBpp0081037,7227.FBpp0082096,7227.FBpp0083505,7227.FBpp0084288,7227.FBpp0084289,7227.FBpp0084464,7227.FBpp0085735,7227.FBpp0086228,7227.FBpp0088549,7227.FBpp0088599,7227.FBpp0088975,7227.FBpp0099901,7227.FBpp0112131,7227.FBpp0292162,7227.FBpp0293589,7227.FBpp0303597,7227.FBpp0305251,7227.FBpp0305377,7227.FBpp0305575,7227.FBpp0306613,7227.FBpp0308307,7227.FBpp0308365,7227.FBpp0308381,7227.FBpp0309468,7227.FBpp0309966,7227.FBpp0309999,7227.FBpp0311650,7227.FBpp0422604","Acp62F,aay,fbl,Acp26Ab,Akap200,Acp33A,sNPF,Gr39a,Desat1,e,Mst57Da,Mst57Db,SPARC,cer,Acp53Ea,spin,Sh,Dup99B,Syn,cu,moody,foxo,para,Gbs-70E,Ebp,Est-6,CanA1,Mst57Dc,to,Adar,Acp36DE,kcc,EbpIII,EbpII,Gld",1.24e-09,1.75e-06,"Behavior"
"6","Process","GO:0007320",8,24,7227,"7227.FBpp0072820,7227.FBpp0086228,7227.FBpp0305377,7227.FBpp0305575,7227.FBpp0309468,7227.FBpp0309999,7227.FBpp0311650,7227.FBpp0422604","Acp62F,Acp53Ea,Ebp,Est-6,Acp36DE,EbpIII,EbpII,Gld",1.42e-07,0.00017,"Insemination"
"7","Process","GO:0045924",9,37,7227,"7227.FBpp0079854,7227.FBpp0084288,7227.FBpp0084289,7227.FBpp0088549,7227.FBpp0088975,7227.FBpp0305575,7227.FBpp0308307,7227.FBpp0309468,7227.FBpp0311650","Acp33A,Mst57Da,Mst57Db,spin,Dup99B,Est-6,Mst57Dc,Acp36DE,EbpII",2.27e-07,0.00018,"Regulation of female receptivity"
"8","Process","GO:0006631",15,141,7227,"7227.FBpp0072560,7227.FBpp0075961,7227.FBpp0076520,7227.FBpp0076623,7227.FBpp0079897,7227.FBpp0081286,7227.FBpp0081631,7227.FBpp0082096,7227.FBpp0083505,7227.FBpp0084252,7227.FBpp0084938,7227.FBpp0087468,7227.FBpp0290497,7227.FBpp0292386,7227.FBpp0311939","CG9149,Elo68alpha,Mcad,Acbp3,Hacd1,CG7910,CG9459,Desat1,e,CG5112,CG15531,CG30008,whd,pdgy,CG6432",4.44e-07,0.00031,"Fatty acid metabolic process"
"9","Process","GO:0046394",14,124,7227,"7227.FBpp0073422,7227.FBpp0073608,7227.FBpp0075961,7227.FBpp0076185,7227.FBpp0079897,7227.FBpp0081631,7227.FBpp0082096,7227.FBpp0083505,7227.FBpp0083872,7227.FBpp0084938,7227.FBpp0087468,7227.FBpp0309709,7227.FBpp0310050,7227.FBpp0311939","regucalcin,CG1673,Elo68alpha,aay,Hacd1,CG9459,Desat1,e,CG10184,CG15531,CG30008,CG10621,LKRSDH,CG6432",5.62e-07,0.00036,"Carboxylic acid biosynthetic process"
"10","Process","GO:0032787",17,192,7227,"7227.FBpp0070368,7227.FBpp0072560,7227.FBpp0075961,7227.FBpp0076520,7227.FBpp0076623,7227.FBpp0079897,7227.FBpp0081286,7227.FBpp0081631,7227.FBpp0082096,7227.FBpp0083505,7227.FBpp0084252,7227.FBpp0084373,7227.FBpp0084938,7227.FBpp0087468,7227.FBpp0290497,7227.FBpp0292386,7227.FBpp0311939","Pgd,CG9149,Elo68alpha,Mcad,Acbp3,Hacd1,CG7910,CG9459,Desat1,e,CG5112,Ald1,CG15531,CG30008,whd,pdgy,CG6432",8.27e-07,0.00041,"Monocarboxylic acid metabolic process"
"11","Process","GO:0019752",23,378,7227,"7227.FBpp0070368,7227.FBpp0072560,7227.FBpp0073422,7227.FBpp0073608,7227.FBpp0075961,7227.FBpp0076185,7227.FBpp0076520,7227.FBpp0076623,7227.FBpp0079897,7227.FBpp0081286,7227.FBpp0081631,7227.FBpp0082096,7227.FBpp0083505,7227.FBpp0083872,7227.FBpp0084252,7227.FBpp0084373,7227.FBpp0084938,7227.FBpp0087468,7227.FBpp0290497,7227.FBpp0292386,7227.FBpp0309709,7227.FBpp0310050,7227.FBpp0311939","Pgd,CG9149,regucalcin,CG1673,Elo68alpha,aay,Mcad,Acbp3,Hacd1,CG7910,CG9459,Desat1,e,CG10184,CG5112,Ald1,CG15531,CG30008,whd,pdgy,CG10621,LKRSDH,CG6432",4.57e-06,0.002,"Carboxylic acid metabolic process"
"12","Process","GO:0042628",4,4,7227,"7227.FBpp0305377,7227.FBpp0309468,7227.FBpp0309999,7227.FBpp0311650","Ebp,Acp36DE,EbpIII,EbpII",9.66e-06,0.0036,"Mating plug formation"
"13","Process","GO:0016042",11,127,7227,"7227.FBpp0070831,7227.FBpp0072560,7227.FBpp0074166,7227.FBpp0076520,7227.FBpp0081286,7227.FBpp0084252,7227.FBpp0084449,7227.FBpp0086316,7227.FBpp0292386,7227.FBpp0300565,7227.FBpp0309480","CG5966,CG9149,CG18258,Mcad,CG7910,CG5112,CG6295,CG7997,pdgy,CG3376,CG5162",8.89e-05,0.0315,"Lipid catabolic process"
"14","Process","GO:0018991",4,10,7227,"7227.FBpp0084288,7227.FBpp0084289,7227.FBpp0088975,7227.FBpp0308307","Mst57Da,Mst57Db,Dup99B,Mst57Dc",0.00013,0.0424,"Oviposition"
"15","Process","GO:0019730",6,35,7227,"7227.FBpp0085802,7227.FBpp0085908,7227.FBpp0086518,7227.FBpp0297062,7227.FBpp0311847,7227.FBpp0311969","DptA,BomBc1,Mtk,AttC,Bbd,Anp",0.00014,0.0429,"Antimicrobial humoral response"
"16","Process","GO:0046692",5,21,7227,"7227.FBpp0072820,7227.FBpp0086228,7227.FBpp0305575,7227.FBpp0309468,7227.FBpp0422604","Acp62F,Acp53Ea,Est-6,Acp36DE,Gld",0.00013,0.0429,"Sperm competition"
"17","Process","GO:0006633",8,71,7227,"7227.FBpp0075961,7227.FBpp0079897,7227.FBpp0081631,7227.FBpp0082096,7227.FBpp0083505,7227.FBpp0084938,7227.FBpp0087468,7227.FBpp0311939","Elo68alpha,Hacd1,CG9459,Desat1,e,CG15531,CG30008,CG6432",0.00016,0.0467,"Fatty acid biosynthetic process"
"18","Process","GO:0046008",5,22,7227,"7227.FBpp0079854,7227.FBpp0088975,7227.FBpp0305575,7227.FBpp0309468,7227.FBpp0311650","Acp33A,Dup99B,Est-6,Acp36DE,EbpII",0.00016,0.0467,"Regulation of female receptivity, post-mating"
